,gas_temp,dust_temp,Chem_1,Chem_2,Chem_3,Chem_4,Chem_5,Chem_6,Chem_7,Chem_8
0,0.7663487,0.23377661,0.29728085,0.19799083,0.33709535,0.06718475,0.33288747,0.031700566,0.861902,0.6487202
0,0.7663487,0.23377661,0.29728085,0.19799083,0.33709535,0.06718475,0.33288747,0.031700566,0.861902,0.6487202
0,0.75967723,0.23414049,0.3083459,0.20406832,0.33669984,0.06837492,0.32875022,0.028667968,0.85773444,0.64747727
0,0.75967723,0.23414049,0.3083459,0.20406832,0.33669984,0.06837492,0.32875022,0.028667968,0.85773444,0.64747727
0,0.75967723,0.23414049,0.3083459,0.20406832,0.33669984,0.06837492,0.32875022,0.028667968,0.85773444,0.64747727
0,0.75354946,0.23502533,0.31919762,0.20998552,0.33675915,0.06928392,0.32429716,0.026595235,0.85395813,0.64594936
0,0.7482037,0.23611069,0.330005,0.21516073,0.3370976,0.06999383,0.3197291,0.025209498,0.8504013,0.6442806
0,0.74358624,0.23743883,0.34080815,0.21955594,0.33759043,0.070461296,0.31514332,0.024357645,0.8470201,0.642492
0,0.731588,0.24147055,0.37363234,0.23003924,0.33928263,0.07097007,0.30142957,0.023531623,0.83830243,0.63734245
