,gas_temp,dust_temp,Chem_1,Chem_2,Chem_3,Chem_4,Chem_5,Chem_6,Chem_7,Chem_8
0,0.5839613,0.16298291,0.27395564,0.36617175,0.11189609,0.40261072,0.31144315,0.06482944,0.88350403,0.39558598
0,0.5839613,0.16298291,0.27395564,0.36617175,0.11189609,0.40261072,0.31144315,0.06482944,0.88350403,0.39558598
0,0.61484283,0.17001154,0.13132401,0.37359273,0.1295358,0.39981872,0.3976513,0.08285142,0.8930464,0.38820538
0,0.61484283,0.17001155,0.131324,0.37359276,0.1295358,0.3998187,0.3976513,0.08285141,0.8930464,0.3882054
0,0.6148428,0.17001155,0.13132405,0.37359267,0.12953581,0.39981872,0.39765114,0.08285139,0.8930464,0.38820532
0,0.61484283,0.17001155,0.13132398,0.37359273,0.1295358,0.39981872,0.3976513,0.082851395,0.8930464,0.3882054
0,0.57111657,0.17366841,0.4358894,0.37511194,0.11053243,0.38805604,0.33941135,0.048344765,0.8391256,0.44878381
0,0.613574,0.16957417,0.13351181,0.37298667,0.1294261,0.40042925,0.39370102,0.08236319,0.8927895,0.3873918
0,0.6013911,0.16565518,0.16291335,0.36887038,0.12608877,0.4035928,0.35736775,0.07663874,0.8895683,0.38284397
