,gas_temp,dust_temp,Chem_1,Chem_2,Chem_3,Chem_4,Chem_5,Chem_6,Chem_7,Chem_8
0,0.30375758,0.17347458,0.32457894,0.236802,0.19903553,0.31371668,0.46359742,0.0063974266,0.10767773,0.26100862
0,0.30375758,0.17347458,0.32457894,0.236802,0.19903553,0.31371668,0.46359742,0.0063974266,0.10767773,0.26100862
0,0.29201227,0.17006259,0.37209517,0.22534037,0.19320711,0.31574404,0.46817473,0.0053122705,0.14062873,0.25672626
0,0.28832772,0.16762513,0.39447367,0.2216346,0.19165033,0.31651652,0.4631579,0.004948029,0.1558994,0.25554356
0,0.2896945,0.16880603,0.38446733,0.22315645,0.1924738,0.31630108,0.4662071,0.0050749443,0.1484262,0.2559456
0,0.29201227,0.17006259,0.37209517,0.22534037,0.19320711,0.31574404,0.46817473,0.0053122705,0.14062873,0.25672626
0,0.30979964,0.15965468,0.44497597,0.24146971,0.18129942,0.31783277,0.42109698,0.005246255,0.21123996,0.26391888
0,0.3432636,0.15821555,0.47811645,0.27210456,0.17149313,0.3163987,0.3837791,0.005171078,0.25478384,0.27826676
0,0.34325057,0.1579628,0.47966415,0.27173626,0.17116934,0.31651303,0.38188943,0.005165139,0.25636256,0.278101
